date,nav
2019-01-02,1.0
2019-01-03,1.0
2019-01-04,1.0
2019-01-07,1.0
2019-01-08,1.0
2019-01-09,1.0
2019-01-10,1.0
2019-01-11,1.0
2019-01-14,1.0
2019-01-15,1.0
2019-01-16,1.0
2019-01-17,1.0
2019-01-18,1.0
2019-01-21,1.0
2019-01-22,1.0
2019-01-23,1.0
2019-01-24,1.0
2019-01-25,1.0
2019-01-28,1.0
2019-01-29,1.0
2019-01-30,1.0
2019-01-31,1.0
2019-02-01,1.0
2019-02-11,1.0
2019-02-12,1.0
2019-02-13,1.0
2019-02-14,1.0
2019-02-15,1.0
2019-02-18,1.0
2019-02-19,1.0
2019-02-20,1.0
2019-02-21,1.0
2019-02-22,1.0
2019-02-25,1.0
2019-02-26,1.0
2019-02-27,1.0
2019-02-28,1.0
2019-03-01,1.0
2019-03-04,1.0
2019-03-05,1.0
2019-03-06,1.0
2019-03-07,1.0
2019-03-08,1.0
2019-03-11,1.0
2019-03-12,1.0
2019-03-13,1.0
2019-03-14,1.0
2019-03-15,1.0
2019-03-18,1.0
2019-03-19,1.0
2019-03-20,1.0
2019-03-21,1.0
2019-03-22,1.0
2019-03-25,1.0
2019-03-26,1.0
2019-03-27,1.0
2019-03-28,1.0
2019-03-29,1.0
2019-04-01,1.0
2019-04-02,1.0
2019-04-03,1.0
2019-04-04,1.0
2019-04-08,1.0
2019-04-09,1.0
2019-04-10,1.0
2019-04-11,1.0
2019-04-12,1.0
2019-04-15,1.0
2019-04-16,1.0
2019-04-17,1.0
2019-04-18,1.0
2019-04-19,1.0
2019-04-22,1.0
2019-04-23,1.0
2019-04-24,1.0
2019-04-25,1.0
2019-04-26,1.0
2019-04-29,1.0
2019-04-30,1.0
2019-05-06,1.0
2019-05-07,1.0
2019-05-08,1.0
2019-05-09,1.0
2019-05-10,1.0
2019-05-13,1.0
2019-05-14,1.0
2019-05-15,1.0
2019-05-16,1.0
2019-05-17,1.0
2019-05-20,1.0
2019-05-21,1.0
2019-05-22,1.0
2019-05-23,1.0
2019-05-24,1.0
2019-05-27,1.0
2019-05-28,1.0
2019-05-29,1.0
2019-05-30,1.0
2019-05-31,1.0
2019-06-03,1.0
2019-06-04,1.0
2019-06-05,1.0
2019-06-06,1.0
2019-06-10,1.0
2019-06-11,1.0
2019-06-12,1.0
2019-06-13,1.0
2019-06-14,1.0
2019-06-17,1.0
2019-06-18,1.0
2019-06-19,1.0
2019-06-20,1.0
2019-06-21,1.0
2019-06-24,1.0
2019-06-25,1.0
2019-06-26,1.0
2019-06-27,1.0
2019-06-28,1.0
2019-07-01,1.0
2019-07-02,1.0
2019-07-03,1.0
2019-07-04,1.0
2019-07-05,1.0
2019-07-08,1.0
2019-07-09,1.0
2019-07-10,1.0
2019-07-11,1.0
2019-07-12,1.0
2019-07-15,1.0
2019-07-16,1.0
2019-07-17,1.0
2019-07-18,1.0
2019-07-19,1.0
2019-07-22,1.0
2019-07-23,1.0
2019-07-24,1.0
2019-07-25,1.0
2019-07-26,1.0
2019-07-29,1.0
2019-07-30,1.0
2019-07-31,1.0
2019-08-01,1.0
2019-08-02,1.0
2019-08-05,1.0
2019-08-06,1.0
2019-08-07,1.0
2019-08-08,1.0
2019-08-09,1.0
2019-08-12,1.0
2019-08-13,1.0
2019-08-14,1.0
2019-08-15,1.0
2019-08-16,1.0
2019-08-19,1.0
2019-08-20,1.0
2019-08-21,1.0
2019-08-22,1.0
2019-08-23,1.0
2019-08-26,1.0
2019-08-27,1.0
2019-08-28,1.0
2019-08-29,1.0
2019-08-30,1.0
2019-09-02,1.0
2019-09-03,1.0
2019-09-04,1.0
2019-09-05,1.0
2019-09-06,1.0
2019-09-09,1.0
2019-09-10,1.0
2019-09-11,1.0
2019-09-12,1.0
2019-09-16,1.0
2019-09-17,1.0
2019-09-18,1.0
2019-09-19,1.0
2019-09-20,1.0
2019-09-23,1.0
2019-09-24,1.0
2019-09-25,1.0
2019-09-26,1.0
2019-09-27,1.0
2019-09-30,1.0
2019-10-08,1.0
2019-10-09,1.0
2019-10-10,1.0
2019-10-11,1.0
2019-10-14,1.0
2019-10-15,1.0
2019-10-16,1.0
2019-10-17,1.0
2019-10-18,1.0
2019-10-21,1.0
2019-10-22,1.0
2019-10-23,1.0
2019-10-24,1.0
2019-10-25,1.0
2019-10-28,1.0
2019-10-29,1.0
2019-10-30,1.0
2019-10-31,1.0
2019-11-01,1.0
2019-11-04,1.0
2019-11-05,1.0
2019-11-06,1.0
2019-11-07,1.0
2019-11-08,1.0
2019-11-11,1.0
2019-11-12,1.0
2019-11-13,1.0
2019-11-14,1.0
2019-11-15,1.0
2019-11-18,1.0
2019-11-19,1.0
2019-11-20,1.0
2019-11-21,1.0
2019-11-22,1.0
2019-11-25,1.0
2019-11-26,1.0
2019-11-27,1.0
2019-11-28,1.0
2019-11-29,1.0
2019-12-02,1.0
2019-12-03,1.0
2019-12-04,1.0
2019-12-05,1.0
2019-12-06,1.0
2019-12-09,1.0
2019-12-10,1.0
2019-12-11,1.0
2019-12-12,1.0
2019-12-13,1.0
2019-12-16,1.0
2019-12-17,1.0
2019-12-18,1.0
2019-12-19,1.0
2019-12-20,1.0
2019-12-23,1.0
2019-12-24,1.0
2019-12-25,1.0
2019-12-26,1.0
2019-12-27,1.0
2019-12-30,1.0
2019-12-31,1.0
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,1.0
2020-03-30,1.0
2020-03-31,1.0075418150126505
2020-04-01,1.0079823789084508
2020-04-02,1.0386491602704289
2020-04-03,1.03441447885509
2020-04-07,1.0720980170103658
2020-04-08,1.0657266469769568
2020-04-09,1.0723274971648595
2020-04-10,1.0542091799920348
2020-04-13,1.045131295715199
2020-04-14,1.0792644083996474
2020-04-15,1.0771152826548334
2020-04-16,1.0814890351345439
2020-04-17,1.093849561470269
2020-04-20,1.1009157390603646
2020-04-21,1.0886553746950038
2020-04-22,1.1007497260006105
2020-04-23,1.0933310015362043
2020-04-24,1.0800230673515
2020-04-27,1.0887163742727153
2020-04-28,1.107874946407735
2020-04-29,1.103440000324871
2020-04-30,1.1224751107073556
2020-05-06,1.1400860163204456
2020-05-07,1.1431575295087593
2020-05-08,1.1503407113080946
2020-05-11,1.1427165476645593
2020-05-12,1.1523850160959546
2020-05-13,1.1617934283960647
2020-05-14,1.1507872663066954
2020-05-15,1.1519812383120331
2020-05-18,1.1495275708257
2020-05-19,1.163303054704768
2020-05-20,1.147066375652466
2020-05-21,1.137563031204847
2020-05-22,1.1093221245533922
2020-05-25,1.1107113224160614
2020-05-26,1.1319557968912524
2020-05-27,1.1115408076752153
2020-05-28,1.1108591830673102
2020-05-29,1.1258622983251263
2020-06-01,1.1643319870000135
2020-06-02,1.1613808918398407
2020-06-03,1.1621810403983526
2020-06-04,1.1643758190792624
2020-06-05,1.1738981977166558
2020-06-08,1.1705434283559137
2020-06-09,1.1819225824485802
2020-06-10,1.1927957498569666
2020-06-11,1.1849042793308031
2020-06-12,1.191401170307734
2020-06-15,1.1826323655256434
2020-06-16,1.2044514692262673
2020-06-17,1.2146325486874394
2020-06-18,1.2268164849752656
2020-06-19,1.2500678714145175
2020-06-22,1.2528808278455523
2020-06-23,1.267926772604952
2020-06-24,1.2720744822517593
2020-06-29,1.268052061567223
2020-06-30,1.2950257374012066
2020-07-01,1.301262274538961
2020-07-02,1.2978441040180935
2020-07-03,1.3131687719533223
2020-07-06,1.3548881450036825
2020-07-07,1.3926522943133886
2020-07-08,1.4155895445209756
2020-07-09,1.4607883179819143
2020-07-10,1.461705713316765
2020-07-13,1.511492300226057
2020-07-14,1.4923079093581608
2020-07-15,1.465686048478602
2020-07-16,1.3747789163720567
2020-07-17,1.3931964249772106
2020-07-20,1.4153385182199163
2020-07-21,1.438354496494337
2020-07-22,1.452179449680029
2020-07-23,1.4559699265437258
2020-07-24,1.3713130220116576
2020-07-27,1.3834254083598152
2020-07-28,1.4042192278380385
2020-07-29,1.4590051586350612
2020-07-30,1.450335021089535
2020-07-31,1.4800019648260883
2020-08-03,1.510300010983494
2020-08-04,1.4915148747867593
2020-08-05,1.5056788955696758
2020-08-06,1.4846889319270296
2020-08-07,1.455315789901478
2020-08-10,1.4540706979510882
2020-08-11,1.4345333842510442
2020-08-12,1.415785119977786
2020-08-13,1.4016145495858865
2020-08-14,1.42279495845138
